epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,680.561,0.89253,0.83443,1.02181,0.71457,0.75123,0.76746,0.593,0.92675,0.94729,1.0056,0.0008647,0.0008647,0.0008647
43,695.368,0.90183,0.85818,1.00925,0.67273,0.80685,0.77394,0.6105,0.84199,0.90471,0.97239,0.0008614,0.0008614,0.0008614
44,710.183,0.84849,0.81516,0.99962,0.74841,0.75189,0.77113,0.59877,0.88289,0.95496,0.99284,0.0008581,0.0008581,0.0008581
45,725.022,0.89927,0.84088,0.99766,0.70682,0.75881,0.76703,0.60097,0.86898,0.90508,0.99967,0.0008548,0.0008548,0.0008548
46,739.947,0.90057,0.84466,1.00254,0.67466,0.78328,0.76869,0.59948,0.9053,0.92097,1.015,0.0008515,0.0008515,0.0008515
47,755.016,0.89262,0.83877,1.00488,0.69456,0.75164,0.7744,0.59407,0.91674,0.9452,1.01626,0.0008482,0.0008482,0.0008482
48,769.961,0.87098,0.84937,1.00147,0.67402,0.77704,0.78085,0.59355,1.05194,0.98613,1.09592,0.0008449,0.0008449,0.0008449
49,784.811,0.87007,0.82971,0.99777,0.68653,0.78169,0.76012,0.57684,0.99225,1.00556,1.04663,0.0008416,0.0008416,0.0008416
50,799.926,0.87143,0.83536,1.00107,0.7386,0.78159,0.80389,0.63516,0.91735,0.89724,1.02711,0.0008383,0.0008383,0.0008383
51,816.513,0.86271,0.82567,1.00296,0.75325,0.82642,0.81448,0.63616,0.87991,0.83058,1.00727,0.000835,0.000835,0.000835
52,833.659,0.84563,0.79808,0.9924,0.76102,0.75774,0.80135,0.62304,0.86098,0.86828,0.97882,0.0008317,0.0008317,0.0008317
53,851.308,0.85886,0.82501,0.99444,0.76981,0.76744,0.80966,0.65231,0.85028,0.86332,0.98,0.0008284,0.0008284,0.0008284
54,867.822,0.86804,0.80262,1.00587,0.76841,0.75975,0.81376,0.63174,0.90763,0.85817,1.00938,0.0008251,0.0008251,0.0008251
55,882.778,0.85376,0.79181,0.99339,0.71633,0.76583,0.77355,0.59708,0.94737,0.9494,1.03532,0.0008218,0.0008218,0.0008218
56,897.922,0.84565,0.79235,0.99295,0.71825,0.73688,0.76505,0.61181,0.86059,0.94192,0.98865,0.0008185,0.0008185,0.0008185
57,913.009,0.84482,0.79157,0.99685,0.7429,0.79318,0.77829,0.592,0.90205,0.94599,0.9975,0.0008152,0.0008152,0.0008152
58,928.2,0.83531,0.78885,0.99297,0.74778,0.78458,0.7872,0.62234,0.8175,0.86496,0.97446,0.0008119,0.0008119,0.0008119
59,943.254,0.84086,0.77765,0.9867,0.71992,0.76834,0.76434,0.60827,0.78117,0.88899,0.94914,0.0008086,0.0008086,0.0008086
60,958.352,0.8335,0.77387,0.97486,0.76892,0.7847,0.81132,0.65531,0.8393,0.8744,0.95885,0.0008053,0.0008053,0.0008053
61,974.858,0.81684,0.77493,0.98329,0.74522,0.78864,0.80965,0.66392,0.78693,0.83785,0.94887,0.000802,0.000802,0.000802
62,991.465,0.8496,0.77651,0.98978,0.72532,0.76734,0.80199,0.64147,0.86531,0.88802,0.98946,0.0007987,0.0007987,0.0007987
63,1006.46,0.86165,0.7619,0.99706,0.73954,0.78548,0.80701,0.65212,0.8102,0.87748,0.98045,0.0007954,0.0007954,0.0007954
64,1021.27,0.86885,0.77351,0.98579,0.68329,0.84947,0.814,0.65669,0.81323,0.86512,0.97216,0.0007921,0.0007921,0.0007921
65,1036.12,0.81639,0.73004,0.97608,0.71975,0.82108,0.79348,0.65067,0.78793,0.81215,0.95628,0.0007888,0.0007888,0.0007888
66,1051.08,0.82345,0.72931,0.98809,0.69109,0.82252,0.7974,0.64037,0.84193,0.82418,0.96604,0.0007855,0.0007855,0.0007855
67,1066.31,0.83874,0.75955,0.98242,0.68102,0.81897,0.78857,0.64217,0.81632,0.89889,0.96264,0.0007822,0.0007822,0.0007822
68,1084,0.81234,0.74648,0.98722,0.72115,0.78657,0.80301,0.64687,0.83446,0.85284,0.98687,0.0007789,0.0007789,0.0007789
69,1098.89,0.82082,0.73243,0.97767,0.72565,0.7687,0.78253,0.63351,0.81203,0.87281,0.95517,0.0007756,0.0007756,0.0007756
70,1113.89,0.81254,0.7503,0.96524,0.72046,0.80362,0.79769,0.61721,0.92137,0.88489,1.00698,0.0007723,0.0007723,0.0007723
71,1128.74,0.81335,0.74079,0.98409,0.75302,0.80031,0.80464,0.62756,0.89687,0.84973,0.99489,0.000769,0.000769,0.000769
72,1143.73,0.80573,0.75351,0.97512,0.73398,0.80529,0.80175,0.64197,0.83717,0.87993,0.97739,0.0007657,0.0007657,0.0007657
73,1158.69,0.82539,0.76834,0.97708,0.69068,0.79437,0.80835,0.64509,0.83941,0.86595,0.97058,0.0007624,0.0007624,0.0007624
74,1173.37,0.82086,0.75449,0.97383,0.75187,0.75283,0.79481,0.64223,0.82819,0.8603,0.97068,0.0007591,0.0007591,0.0007591
75,1188.3,0.79754,0.71399,0.97672,0.78281,0.7511,0.80461,0.65101,0.81326,0.86326,0.97499,0.0007558,0.0007558,0.0007558
76,1203.27,0.83236,0.75489,0.99408,0.71858,0.80484,0.82238,0.66168,0.82761,0.83652,0.97651,0.0007525,0.0007525,0.0007525
77,1218.13,0.77944,0.71163,0.96035,0.69656,0.83071,0.80605,0.65801,0.78757,0.8471,0.9603,0.0007492,0.0007492,0.0007492
78,1233.02,0.7861,0.71306,0.96567,0.71372,0.79528,0.79152,0.64559,0.83234,0.89498,0.96811,0.0007459,0.0007459,0.0007459
79,1247.88,0.78661,0.72397,0.96669,0.76227,0.79916,0.8193,0.66612,0.81226,0.82792,0.95915,0.0007426,0.0007426,0.0007426
80,1264.43,0.79058,0.71981,0.97735,0.72709,0.79853,0.79805,0.65242,0.76676,0.8507,0.94859,0.0007393,0.0007393,0.0007393
81,1279.67,0.77688,0.70436,0.96716,0.6876,0.80234,0.79797,0.64592,0.81286,0.84993,0.96611,0.000736,0.000736,0.000736
82,1294.65,0.79367,0.70551,0.96053,0.72372,0.79326,0.80574,0.65764,0.77674,0.83849,0.94913,0.0007327,0.0007327,0.0007327
83,1311.33,0.77103,0.69047,0.96254,0.7728,0.76071,0.80856,0.66389,0.76082,0.82743,0.94133,0.0007294,0.0007294,0.0007294
84,1326.26,0.77476,0.712,0.96026,0.72331,0.80342,0.79758,0.6533,0.78215,0.82847,0.96468,0.0007261,0.0007261,0.0007261
85,1341.49,0.78552,0.71602,0.96503,0.70975,0.80679,0.79575,0.66819,0.75976,0.83781,0.94165,0.0007228,0.0007228,0.0007228
86,1357.62,0.77931,0.67741,0.96161,0.74977,0.80372,0.8238,0.68249,0.74875,0.79016,0.93745,0.0007195,0.0007195,0.0007195
87,1374.94,0.76499,0.66494,0.94873,0.74664,0.76168,0.79438,0.64271,0.8284,0.88019,0.97801,0.0007162,0.0007162,0.0007162
88,1389.9,0.7601,0.68466,0.95127,0.74279,0.78708,0.80625,0.66231,0.80332,0.82164,0.96599,0.0007129,0.0007129,0.0007129
89,1405.08,0.76548,0.6814,0.95101,0.766,0.77656,0.82809,0.67687,0.79263,0.78669,0.94134,0.0007096,0.0007096,0.0007096
90,1419.9,0.76303,0.68728,0.95931,0.73116,0.7586,0.78548,0.63793,0.80203,0.89861,0.95448,0.0007063,0.0007063,0.0007063
91,1434.61,0.76779,0.69261,0.95687,0.71502,0.79306,0.81105,0.65607,0.84836,0.88743,0.97667,0.000703,0.000703,0.000703
92,1449.27,0.76311,0.67461,0.9564,0.71481,0.84891,0.82967,0.66878,0.8602,0.82196,1.0105,0.0006997,0.0006997,0.0006997
93,1464.31,0.78209,0.68944,0.96618,0.74688,0.77372,0.81894,0.68118,0.78072,0.79021,0.95105,0.0006964,0.0006964,0.0006964
